EMPLOYEEID, NAME,DOJ,DESIGNATION,AGE,SALARY,DEPARTMENT,PASTEXP
858307,ARMEN,5-18-2014,Analyst,21,"$44,570.00",Finance,0
858306,ANCY,7-28-2014,Analyst,21,"$40,955.00",Finance,0
858305,AQUILAR,04-03-2013,Analyst,22,"$45,550.00",IT,0
858304,GRAVE,2-19-2013,Analyst,22,"$48,736.00",Marketing,0
858303,AGULAR,09-02-2013,Analyst,22,"$40,339.00",Marketing,0
858207,ALSOP,6-29-2014,Senior Analyst,28,"$63,478.00",Operations,1
958307,APELA,11-11-2014,Analyst,22,"$43,110.00",Finance,0
868307,ARDS,03-10-2014,Analyst,24,"$41,590.00",Marketing,1
858310,ACKIES,02-01-2010,Senior Manager,36,"$160,613.00",Finance,9
858407,AFTON,3-22-2013,Analyst,21,"$45,830.00",Web,0
858205,AGUILLERA,7-27-2013,Analyst,24,"$43,457.00",Management,1
858268,ANDRZEJCZYK,8-13-2014,Analyst,21,"$44,812.00",IT,0
858278,ADSIDE,9-16-2013,Analyst,25,"$47,636.00",Finance,2
858288,AGOSTO,06-07-2014,Analyst,24,"$48,651.00",Web,1
858298,AGUILER,02-03-2013,Analyst,23,"$40,411.00",Management,0
958207,ABDULA,07-03-2013,Analyst,24,"$44,665.00",Web,0
735902,ADNEY,6-23-2013,Analyst,25,"$46,941.00",Marketing,1
128694,ALEGRIA,10-11-2013,Analyst,22,"$47,734.00",Marketing,0
328693,ANDRADA,07-11-2014,Analyst,23,"$40,541.00",Operations,1
197007,APPERT,12-02-2013,Analyst,25,"$43,920.00",Web,2
180077,ABRIL,02-11-2013,Analyst,21,"$45,832.00",Management,0
3456778,ARMSTRONG,1-22-2014,Analyst,23,"$48,102.00",Marketing,0
